cfg_init_scale,cfg_init_scheme,cfg_learning_rate,cfg_num_cells,cfg_num_layers,n_runs,success_n_mean,success_n_std,converged_rate,steps_to_converge_mean,steps_to_converge_std,final_loss_mean,final_loss_std,final_train_acc_mean,final_train_acc_std,fp_mode_code,fp_mode_frac
1.0,small_normal,0.005,4,1,5,18.2,4.604345773288535,1.0,650.0,217.94494717703367,0.3358509480953217,0.05313615924549224,100.0,0.0,cell3_sign1_fgH,0.2
1.0,pytorch_default,0.05,8,1,5,17.8,5.848076606885379,1.0,120.0,75.82875444051551,0.29308207631111144,0.06018780788322214,100.0,0.0,cell6_sign-1_fgH,0.2
1.0,pytorch_default,0.05,2,1,5,17.8,16.361540269791227,0.8,139.8,108.72074319098449,0.3612604379653931,0.0455989168493694,98.92820892333984,2.396597705089797,cell1_sign1_fgH,0.6
1.0,xavier_normal,0.1,2,1,5,17.8,12.336936410632909,0.8,659.8,655.4236797675226,0.3294754236936569,0.0693685004039025,98.24639282226562,3.921184855245617,cell0_sign-1_fgH,0.4
1.0,orthogonal_recurrent_xavier,0.1,4,1,5,17.4,4.61519230368573,1.0,240.0,248.49547279578354,0.2707928329706192,0.028464633024220136,100.0,0.0,cell2_sign1_fgH,0.2
1.0,orthogonal_recurrent_xavier,0.01,4,2,5,17.4,8.23407554009556,1.0,590.0,307.001628660175,0.3223586231470108,0.08204947106453635,100.0,0.0,cell1_sign-1_fgH,0.4
1.0,xavier_uniform,0.005,8,2,5,17.0,6.164414002968976,1.0,420.0,90.82951062292474,0.32137951254844666,0.07038015124115413,100.0,0.0,cell4_sign-1_fgH,0.2
1.0,xavier_normal,0.01,8,1,5,16.8,5.403702434442518,1.0,210.0,65.19202405202648,0.3138236939907074,0.04170449980727989,100.0,0.0,cell0_sign1_fgH,0.4
1.0,orthogonal_recurrent_xavier,0.005,4,2,5,16.4,4.505552130427525,1.0,810.0,258.36021365527625,0.33508678078651427,0.061361112501912694,100.0,0.0,cell1_sign-1_fgH,0.2
1.0,xavier_uniform,0.05,4,1,5,16.2,6.723094525588644,1.0,310.0,194.93588689617928,0.278870689868927,0.010004465427962538,100.0,0.0,cell3_sign-1_fgH,0.4
1.0,xavier_normal,0.005,4,2,5,16.2,3.768288736283355,1.0,910.0,328.63353450309967,0.3994773209095001,0.05369213959155683,100.0,0.0,cell3_sign-1_fgM,0.2
1.0,xavier_normal,0.005,8,1,5,16.0,4.301162633521313,1.0,390.0,54.77225575051661,0.26855862736701963,0.029755311386463923,100.0,0.0,cell0_sign1_fgH,0.4
1.0,xavier_normal,0.05,4,1,5,15.6,4.505552130427524,1.0,360.0,334.2902930089356,0.29287750124931333,0.03681286729003663,100.0,0.0,cell3_sign1_fgH,0.4
1.0,orthogonal_recurrent_xavier,0.01,4,1,5,15.4,3.4351128074635335,1.0,330.0,90.82951062292474,0.350240159034729,0.09624399356083572,100.0,0.0,cell2_sign1_fgH,0.2
1.0,pytorch_default,0.005,2,1,5,15.4,8.44393273303382,0.8,659.8,540.4444467288012,0.3994229376316071,0.05714325743329057,99.00396881103515,2.2271934462353284,cell0_sign1_fgH,0.4
1.0,xavier_normal,0.05,2,1,5,15.4,20.243517480912253,0.6,469.6,834.398166345061,0.37025821805000303,0.05823233296674673,96.3274932861328,5.028786924435575,cell0_sign-1_fgM,0.2
1.0,pytorch_default,0.01,4,2,5,15.2,3.420526275297414,1.0,310.0,151.65750888103102,0.36422749161720275,0.06523884914034758,100.0,0.0,cell0_sign1_fgH,0.4
1.0,orthogonal_recurrent_xavier,0.005,8,1,5,15.2,2.387467277262665,1.0,430.0,103.6822067666386,0.2982335537672043,0.04538866546322002,100.0,0.0,cell4_sign-1_fgH,0.4
1.0,pytorch_default,0.005,4,1,5,15.0,1.5811388300841895,1.0,410.0,65.19202405202648,0.37324497699737547,0.039190785344340465,100.0,0.0,cell0_sign1_fgH,0.6
1.0,pytorch_default,0.05,4,1,5,14.8,4.324349662087931,1.0,120.0,27.386127875258307,0.331862473487854,0.03973259161856057,100.0,0.0,cell0_sign1_fgH,0.6
1.0,xavier_normal,0.01,8,2,5,14.8,5.215361924162119,1.0,220.0,75.82875444051551,0.31596221923828127,0.033927832853292136,100.0,0.0,cell6_sign-1_fgH,0.2
1.0,xavier_normal,0.005,8,2,5,14.8,3.5637059362410923,1.0,360.0,89.44271909999159,0.33162195682525636,0.08181452379522071,100.0,0.0,cell6_sign-1_fgH,0.2
1.0,xavier_uniform,0.1,4,1,5,14.8,4.764451699828638,1.0,430.0,358.12009158939964,0.31988010108470916,0.08463909809156644,100.0,0.0,cell2_sign1_fgH,0.2
1.0,xavier_uniform,0.01,4,2,5,14.8,4.43846820423443,1.0,490.0,138.74436925511608,0.3121420294046402,0.06236330822504004,100.0,0.0,cell3_sign1_fgH,0.4
1.0,pytorch_default,0.05,4,2,5,14.6,4.159326868617084,1.0,160.0,65.19202405202648,0.3903827428817749,0.04124602029847833,100.0,0.0,cell0_sign1_fgH,0.4
1.0,pytorch_default,0.01,4,1,5,14.6,2.0736441353327724,1.0,210.0,22.360679774997898,0.33919342756271365,0.051821889071646914,100.0,0.0,cell0_sign1_fgH,0.8
1.0,pytorch_default,0.01,8,2,5,14.4,3.7815340802378077,1.0,190.0,41.83300132670378,0.34025118947029115,0.0792615698325307,100.0,0.0,cell0_sign1_fgH,0.2
1.0,orthogonal_recurrent_xavier,0.01,8,1,5,14.4,2.9664793948382657,1.0,240.0,54.772255750516614,0.3050626069307327,0.08020873823269882,100.0,0.0,cell4_sign1_fgH,0.2
1.0,xavier_normal,0.005,4,1,5,14.4,3.361547262794322,1.0,640.0,210.3568396796263,0.3323680967092514,0.07913516808179537,100.0,0.0,cell3_sign1_fgH,0.4
1.0,orthogonal_recurrent_xavier,0.01,8,2,5,14.2,4.024922359499621,1.0,210.0,22.360679774997898,0.351929759979248,0.07740636906583777,100.0,0.0,cell7_sign1_fgH,0.2
1.0,pytorch_default,0.005,8,1,5,14.2,0.44721359549995776,1.0,240.0,54.772255750516614,0.29120386242866514,0.027000831540727837,100.0,0.0,cell7_sign1_fgH,0.4
