seed,learning_rate,num_cells,num_layers,embd_size,drop_prob,training_steps,valid_steps,n_max_train,n_test,init_scheme,init_scale,converged,steps_to_converge,final_train_mean_acc,final_loss,success_n,elapsed_sec,fp_row,fp_len,fp_counter_cell,fp_corr,fp_corr_sign,fp_fg_a,fp_ig_a,fp_og_a,fp_fg_b,fp_ig_b,fp_og_b,fp_code,config_id,cfg_init_scale,cfg_init_scheme,cfg_learning_rate,cfg_num_cells,cfg_num_layers
0,0.05,4,1,4,0.1,2000,50,10,100,xavier_uniform,1.0,True,100,100.0,0.28695589303970337,14,4.047600984573364,8,18,2,0.94029301404953,1,0.9946991205215454,0.876288115978241,0.9662424325942993,0.9878818988800049,0.9304978847503662,0.9919815063476562,cell2_sign1_fgH,38,1.0,xavier_uniform,0.05,4,1
1,0.05,4,1,4,0.1,2000,50,10,100,xavier_uniform,1.0,True,400,100.0,0.26164352893829346,12,14.33049750328064,8,18,3,-0.9225896000862122,-1,0.9765682220458984,0.9031422138214111,0.8047164678573608,0.9854868054389954,0.9988537430763245,0.4296098053455353,cell3_sign-1_fgH,38,1.0,xavier_uniform,0.05,4,1
2,0.05,4,1,4,0.1,2000,50,10,100,xavier_uniform,1.0,True,250,100.0,0.279670387506485,28,9.297725677490234,8,18,3,-0.9437243342399597,-1,0.9973773956298828,0.9684314727783203,0.9994698166847229,0.9991951584815979,0.9989808797836304,0.9988135695457458,cell3_sign-1_fgH,38,1.0,xavier_uniform,0.05,4,1
3,0.05,4,1,4,0.1,2000,50,10,100,xavier_uniform,1.0,True,600,100.0,0.2842198610305786,12,21.530653715133667,8,18,1,0.8730877637863159,1,0.8958864212036133,0.7852557301521301,0.9355890154838562,0.5205330848693848,0.008027110248804092,0.897193431854248,cell1_sign1_fgM,38,1.0,xavier_uniform,0.05,4,1
4,0.05,4,1,4,0.1,2000,50,10,100,xavier_uniform,1.0,True,200,100.0,0.2818637788295746,15,8.015601396560669,8,18,0,0.9348745346069336,1,0.99107426404953,0.8545022010803223,0.7313938736915588,0.9856614470481873,0.7518734931945801,0.9991036653518677,cell0_sign1_fgH,38,1.0,xavier_uniform,0.05,4,1
0,0.05,4,2,4,0.1,2000,50,10,100,xavier_uniform,1.0,True,100,100.0,0.2975879907608032,15,6.413801193237305,8,18,2,0.9428151249885559,1,0.9956576824188232,0.8896369934082031,0.9431766271591187,0.9939486384391785,0.9136935472488403,0.9805105924606323,cell2_sign1_fgH,39,1.0,xavier_uniform,0.05,4,2
1,0.05,4,2,4,0.1,2000,50,10,100,xavier_uniform,1.0,True,250,100.0,0.30450138449668884,41,14.970958471298218,8,18,0,-0.5462502837181091,-1,0.9619500637054443,0.9967774748802185,0.8854667544364929,0.18082761764526367,0.016157101839780807,0.6510223746299744,cell0_sign-1_fgL,39,1.0,xavier_uniform,0.05,4,2
2,0.05,4,2,4,0.1,2000,50,10,100,xavier_uniform,1.0,True,400,100.0,0.27935370802879333,22,23.35888385772705,8,18,0,0.50389164686203,1,0.9702205061912537,0.17705991864204407,0.2677956819534302,0.9991306066513062,0.00099324865732342,0.9993642568588257,cell0_sign1_fgH,39,1.0,xavier_uniform,0.05,4,2
3,0.05,4,2,4,0.1,2000,50,10,100,xavier_uniform,1.0,True,200,100.0,0.33889323472976685,24,11.842380046844482,8,18,3,0.920838475227356,1,0.9814144968986511,0.560443639755249,0.9755003452301025,0.7753161191940308,0.113321952521801,0.57930588722229,cell3_sign1_fgH,39,1.0,xavier_uniform,0.05,4,2
4,0.05,4,2,4,0.1,2000,50,10,100,xavier_uniform,1.0,True,100,100.0,0.3462681770324707,100,6.379472970962524,8,18,2,0.9427998065948486,1,0.999358057975769,0.998930037021637,0.9240274429321289,0.9999785423278809,0.9986213445663452,0.9997251033782959,cell2_sign1_fgH,39,1.0,xavier_uniform,0.05,4,2
